Date	LHUR	PUNEW	FYFF	FYGM3	FYGT1	EXRUK	GDP_JP
1957:01 	3,933333333	27,77666667	2,96	3,08	3,42	279,3047	10149
1957:02 	4,1	28,01333333	3	3,29	3,65	279,0237	10904
1957:03 	4,233333333	28,26333333	3,47	3,53	4,07	278,5088	11231
1957:04 	4,933333333	28,4	2,98	3,04	3,18	280,5796	11075
1958:01 	6,3	28,73666667	1,2	1,3	1,84	281,5398	10973
1958:02 	7,366666667	28,93	0,93	0,83	1,23	281,1111	11325,3
1958:03 	7,333333333	28,91333333	1,76	2,44	3,05	280,3284	11734,1
1958:04 	6,366666667	28,94333333	2,42	2,77	3,29	280,3799	12080,1
1959:01 	5,833333333	28,99333333	2,8	2,8	3,61	281,2708	12223
1959:02 	5,1	29,04333333	3,39	3,21	4,07	281,2537	12869
1959:03 	5,266666667	29,19333333	3,76	4,04	5	280,3704	13680
1959:04 	5,6	29,37	3,99	4,49	5,14	279,8445	13819
1960:01 	5,133333333	29,39666667	3,84	3,31	4,02	280,5857	15162
1960:02 	5,233333333	29,57333333	3,32	2,46	3,36	280,2676	15364
1960:03 	5,533333333	29,59	2,6	2,48	3,07	281,2715	16239
1960:04 	6,266666667	29,78	1,98	2,25	2,86	280,7371	17026
1961:01 	6,8	29,84	2,02	2,39	2,88	279,75	17959
1961:02 	7	29,83	1,73	2,33	3,06	278,98	18695
1961:03 	6,766666667	29,94666667	1,88	2,28	3,06	281,22	19424
1961:04 	6,2	29,99	2,33	2,6	3,18	280,96	20900
1962:01 	5,633333333	30,10666667	2,85	2,72	3,06	281,5298	21428
1962:02 	5,533333333	30,22	2,68	2,73	3,03	280,8301	21769
1962:03 	5,566666667	30,30666667	2,9	2,78	3,06	280,0901	21907
1962:04 	5,533333333	30,38	2,93	2,87	3,01	280,3301	22412
1963:01 	5,766666667	30,47666667	2,98	2,89	3,03	280,0601	23150
1963:02 	5,733333333	30,53333333	2,99	2,99	3,2	280,0198	24488
1963:03 	5,5	30,72	3,48	3,38	3,57	279,7698	25571
1963:04 	5,566666667	30,80333333	3,38	3,52	3,81	279,6497	26867
1964:01 	5,466666667	30,93	3,43	3,54	3,91	279,8101	27933
1964:02 	5,2	30,98	3,5	3,48	3,83	279,4197	29237
1964:03 	5	31,05	3,45	3,53	3,84	278,3401	29905
1964:04 	4,966666667	31,19333333	3,85	3,84	4,02	279,0601	30721
1965:01 	4,9	31,29	4,04	3,93	4,06	279,24	31699
1965:02 	4,666666667	31,49	4,04	3,8	3,99	279,23	32437
1965:03 	4,366666667	31,58333333	4,01	3,92	4,2	279,6697	33475
1965:04 	4,1	31,75	4,32	4,38	4,72	280,21	33558
1966:01 	3,866666667	32,04666667	4,65	4,59	4,97	279,5198	35539,2
1966:02 	3,833333333	32,33666667	5,17	4,5	4,97	278,98	37753,5
1966:03 	3,766666667	32,61666667	5,4	5,37	5,82	278,9297	39148,7
1966:04 	3,7	32,88333333	5,4	4,96	5,2	279,0098	40025,6
1967:01 	3,833333333	32,96666667	4,53	4,26	4,35	279,6272	42074
1967:02 	3,833333333	33,16666667	3,98	3,54	4,48	279,1172	43295
1967:03 	3,8	33,5	3,99	4,42	5,24	278,3694	45546
1967:04 	3,9	33,86666667	4,51	4,97	5,71	240,6298	47540
1968:01 	3,733333333	34,2	5,05	5,17	5,58	239,9718	49302,6
1968:02 	3,566666667	34,53333333	6,07	5,52	5,98	238,462	51317,6
1968:03 	3,533333333	35	5,78	5,19	5,45	238,7395	53237,1
1968:04 	3,4	35,43333333	6,02	5,96	6,19	238,4157	57507,6
1969:01 	3,4	35,86666667	6,79	6,02	6,34	239,1671	57632
1969:02 	3,433333333	36,43333333	8,9	6,44	7,04	238,95	60612,4
1969:03 	3,566666667	36,93333333	9,15	7,09	7,82	238,4	63086,9
1969:04 	3,566666667	37,5	8,97	7,82	8,17	239,73	66786
1970:01 	4,166666667	38,1	7,76	6,63	6,97	240,58	69527
1970:02 	4,766666667	38,63333333	7,6	6,68	7,55	239,77	71738
1970:03 	5,166666667	39,03333333	6,29	6,12	6,73	238,53	74777
1970:04 	5,833333333	39,6	4,9	4,87	5	239,06	76524
1971:01 	5,933333333	39,93333333	3,71	3,38	3,69	241,87	77842
1971:02 	5,9	40,3	4,91	4,75	5,64	241,87	79555
1971:03 	6,033333333	40,7	5,55	4,69	5,41	246,94	81698
1971:04 	5,933333333	41	4,14	4,01	4,6	252,66	83062
1972:01 	5,766666667	41,33333333	3,83	3,73	4,67	261,81	87117
1972:02 	5,7	41,6	4,46	3,91	4,93	256,91	89731
1972:03 	5,566666667	41,93333333	4,87	4,66	5,52	244,1	93788
1972:04 	5,366666667	42,36666667	5,33	5,07	5,52	234,48	97757
1973:01 	4,933333333	43,03333333	7,09	6,09	6,85	247,24	104568
1973:02 	4,933333333	43,93333333	8,49	7,19	7,31	257,62	109319
1973:03 	4,8	44,8	10,78	8,29	8,31	241,83	113518
1973:04 	4,766666667	45,93333333	9,95	7,45	7,27	231,74	120420
1974:01 	5,133333333	47,3	9,35	7,96	7,76	234,06	123283
1974:02 	5,2	48,56666667	11,93	7,9	8,67	239,02	131736
1974:03 	5,633333333	49,93333333	11,34	8,06	8,87	231,65	137890
1974:04 	6,6	51,46666667	8,53	7,15	7,31	232,94	141613
1975:01 	8,266666667	52,56666667	5,54	5,49	6,11	241,8	141887
1975:02 	8,866666667	53,2	5,55	5,34	6,29	228,03	146444
1975:03 	8,466666667	54,26666667	6,24	6,42	7,75	208,35	149751
1975:04 	8,3	55,26666667	5,2	5,44	6,6	202,21	154088
1976:01 	7,733333333	55,9	4,84	5	6,21	194,28	159302
1976:02 	7,566666667	56,4	5,48	5,41	6,52	176,4	164546
1976:03 	7,733333333	57,3	5,25	5,08	5,84	172,72	169524
1976:04 	7,766666667	58,13333333	4,65	4,35	4,89	167,84	172022
1977:01 	7,5	59,2	4,69	4,6	5,5	171,7408	179402
1977:02 	7,133333333	60,23333333	5,39	5,02	5,8	171,914	183207
1977:03 	6,9	61,06666667	6,14	5,81	6,53	174,3139	187162
1977:04 	6,666666667	61,96666667	6,56	6,07	6,96	185,4575	191997
1978:01 	6,333333333	63,03333333	6,79	6,29	7,31	190,5467	197835
1978:02 	6	64,46666667	7,6	6,73	8,09	183,7244	201639
1978:03 	6,033333333	65,96666667	8,45	7,85	8,64	195,95	206879
1978:04 	5,9	67,5	10,03	9,08	10,3	198,6109	210785
1979:01 	5,866666667	69,2	10,09	9,48	10,25	203,78	215043
1979:02 	5,7	71,4	10,29	9,06	9,57	211,19	219875
1979:03 	5,866666667	73,7	11,43	10,26	10,84	219,66	223217
1979:04 	5,966666667	76,03333333	13,78	12,04	11,98	220,07	226526
1980:01 	6,3	79,03333333	17,19	15,2	15,82	220,4511	231999,8
1980:02 	7,333333333	81,7	9,47	7,07	8,16	233,5943	236053
1980:03 	7,666666667	83,23333333	10,87	10,27	11,52	240,1233	243962,91
1980:04 	7,4	85,56666667	18,9	15,49	14,88	234,5937	249946
1981:01 	7,433333333	87,93333333	14,7	13,36	13,71	223,19	254559,91
1981:02 	7,4	89,76666667	19,1	14,73	14,86	197,38	255595,59
1981:03 	7,4	92,26666667	15,87	14,7	16,52	181,46	261035,2
1981:04 	8,233333333	93,76666667	12,37	10,85	12,85	190,3329	264012,19
1982:01 	8,833333333	94,6	14,68	12,68	13,95	180,5	267124,91
1982:02 	9,433333333	95,96666667	14,15	12,47	14,07	175,63	271720,59
1982:03 	9,9	97,63333333	10,31	7,92	10,85	171,2	273228,81
1982:04 	10,66666667	97,93333333	8,95	7,94	8,91	161,6	275198,59
